size,instance,algorithm,time_taken,steps,computational_cost,best_energy,time_to_best,min_energy,median_energy,success_probability,standard_deviation,residual_energy
10,34,Tabu Search,0.1694802219999474,180.0,40500.0,1341.0,0.06873364558886755,1341.0,1341.0,0.8,5.6000000000000005,0.0
10,35,QAP Objective,2.9920000088168308e-05,1.0,5.0,1720.0,0.0,1720.0,1720.0,0.0,0.0,557.0
10,35,Simulated Annealing,0.26330826800040086,4500.0,22500.0,1209.0,0.0031948069850715305,1209.0,1274.0,0.0,34.07638478477434,46.0
10,35,Genetic Algorithm,0.38484943200001,120.0,24200.0,1163.0,0.07825271784000203,1163.0,1272.0,0.2,43.24534657046929,0.0
10,35,Tabu Search,0.11571376400024747,180.0,40500.0,1163.0,0.01877134393781792,1163.0,1163.0,1.0,0.0,0.0
10,36,QAP Objective,2.8650999865931226e-05,1.0,5.0,1941.0,0.0,1941.0,1941.0,0.0,0.0,361.0
10,36,Simulated Annealing,0.2636290310001641,4500.0,22500.0,1591.0,0.009045404974761187,1591.0,1659.0,0.0,38.394791313406046,11.0
10,36,Genetic Algorithm,0.3881300220000412,120.0,24200.0,1614.0,0.05304443634000563,1614.0,1641.0,0.0,12.921300244170475,34.0
10,36,Tabu Search,0.13520917000005284,180.0,40500.0,1580.0,0.03245020080001269,1580.0,1589.0,0.4,4.409081537009721,0.0
10,37,QAP Objective,2.824200009854394e-05,1.0,5.0,1874.0,0.0,1874.0,1874.0,0.0,0.0,378.0
10,37,Simulated Annealing,0.2640722639998785,4500.0,22500.0,1515.0,0.011431394894928074,1515.0,1527.0,0.0,11.892854997854805,19.0
10,37,Genetic Algorithm,0.3956386919999204,120.0,24200.0,1548.0,0.06132399725998766,1548.0,1558.0,0.0,11.582745788456206,52.0
10,37,Tabu Search,0.12735052300013194,180.0,40500.0,1496.0,0.026319108086693938,1496.0,1496.0,0.8,3.6000000000000005,0.0
10,38,QAP Objective,2.800900028887554e-05,1.0,5.0,1731.0,0.0,1731.0,1731.0,0.0,0.0,336.0
10,38,Simulated Annealing,0.2648653279998143,4500.0,22500.0,1415.0,0.005991842308973577,1415.0,1465.0,0.0,37.76241517699841,20.0
10,38,Genetic Algorithm,0.39884761899975274,120.0,24200.0,1415.0,0.07844003173661805,1415.0,1452.0,0.0,39.88282838515844,20.0
10,38,Tabu Search,0.11264317999984996,180.0,40500.0,1395.0,0.014518454311091772,1395.0,1415.0,0.2,12.967652061957862,0.0
10,39,QAP Objective,2.8369000119710108e-05,1.0,5.0,2004.0,0.0,2004.0,2004.0,0.0,0.0,359.0
10,39,Simulated Annealing,0.2734513670002343,4500.0,22500.0,1675.0,0.005930856315382859,1675.0,1699.0,0.0,23.87802336877992,30.0
10,39,Genetic Algorithm,0.3860304169998017,120.0,24200.0,1650.0,0.03731627364331416,1650.0,1697.0,0.0,23.63556642012203,5.0
10,39,Tabu Search,0.09264184400035447,180.0,40500.0,1645.0,0.004940898346685571,1645.0,1650.0,0.2,14.232357499725754,0.0
10,40,QAP Objective,2.8543000098579796e-05,1.0,5.0,2125.0,0.0,2125.0,2125.0,0.0,0.0,388.0
10,40,Simulated Annealing,0.2664653179999732,4500.0,22500.0,1770.0,0.008242660503465837,1770.0,1828.0,0.0,24.166091947189145,33.0
10,40,Genetic Algorithm,0.40609102899998106,120.0,24200.0,1784.0,0.07174274845666333,1784.0,1802.0,0.0,14.7648230602334,47.0
10,40,Tabu Search,0.14018224799974632,180.0,40500.0,1737.0,0.03566859421326878,1737.0,1758.0,0.4,10.457533169921097,0.0
10,41,QAP Objective,2.831900019373279e-05,1.0,5.0,1790.0,0.0,1790.0,1790.0,0.0,0.0,245.0
10,41,Simulated Annealing,0.26347636399987096,4500.0,22500.0,1571.0,0.01722549917528045,1571.0,1595.0,0.0,15.994999218505765,26.0
10,41,Genetic Algorithm,0.3897256059999563,120.0,24200.0,1571.0,0.05001478610332773,1571.0,1610.0,0.0,29.655353648203217,26.0
10,41,Tabu Search,0.12274350899997444,180.0,40500.0,1545.0,0.02277574000332859,1545.0,1545.0,0.6,15.419468213917105,0.0
